key,id,university_name,country,teaching,international,research,citations,income,total_score,rank,num_students,student_staff_ratio,international_students,female_male_ratio,year,ranking_name,Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name
1,California Institute of Technology,California Institute of Technology,United States of America,95.6,64,97.6,99.8,97.8,95.2,1,0,0,0,0,0,California Institute of Technology,95.2,95.6,97.6,99.8,64,97.8,0,California Institute of Technology
2,University of Oxford,University of Oxford,United Kingdom,86.5,94.4,98.9,98.8,73.1,94.2,2,0,0,0,0,0,University of Oxford,94.2,86.5,98.9,98.8,94.4,73.1,0,University of Oxford
3,Stanford University,Stanford University,United States of America,92.5,76.3,96.2,99.9,63.3,93.9,3,0,0,0,0,0,Stanford University,93.9,92.5,96.2,99.9,76.3,63.3,0,Stanford University
4,University of Cambridge,University of Cambridge,United Kingdom,88.2,91.5,96.7,97,55,92.8,4,0,0,0,0,0,University of Cambridge,92.8,88.2,96.7,97,91.5,55,0,University of Cambridge
5,Massachusetts Institute of Technology,Massachusetts Institute of Technology,United States of America,89.4,84,88.6,99.7,95.4,92,5,0,0,0,0,0,Massachusetts Institute of Technology,92,89.4,88.6,99.7,84,95.4,0,Massachusetts Institute of Technology
6,Harvard University,Harvard University,United States of America,83.6,77.2,99,99.8,45.2,91.6,6,0,0,0,0,0,Harvard University,91.6,83.6,99,99.8,77.2,45.2,0,Harvard University
7,Princeton University,Princeton University,United States of America,85.1,78.5,91.9,99.3,52.1,90.1,7,0,0,0,0,0,Princeton University,90.1,85.1,91.9,99.3,78.5,52.1,0,Princeton University
8,Imperial College London,Imperial College London,United Kingdom,83.3,96,88.5,96.7,53.7,89.1,8,0,0,0,0,0,Imperial College London,89.1,83.3,88.5,96.7,96,53.7,0,Imperial College London
9,ETH Zurich í¢ä‰åäóì Swiss Federal Institute of Technology Zurich,ETH Zurich í¢ä‰åäóì Swiss Federal Institute of Technology Zurich,Switzerland,77,97.9,95,91.1,80,88.3,9,0,0,0,0,0,ETH Zurich í¢ä‰åäóì Swiss Federal Institute of Technology Zurich,88.3,77,95,91.1,97.9,80,0,ETH Zurich í¢ä‰åäóì Swiss Federal Institute of Technology Zurich
10,University of Chicago,University of Chicago,United States of America,85.7,65,88.9,99.2,36.6,87.9,10,0,0,0,0,0,University of Chicago,87.9,85.7,88.9,99.2,65,36.6,0,University of Chicago
11,Johns Hopkins University,Johns Hopkins University,United States of America,77.6,70,90.4,98.2,100,87.6,11,0,0,0,0,0,Johns Hopkins University,87.6,77.6,90.4,98.2,70,100,0,Johns Hopkins University
12,Yale University,Yale University,United States of America,86.5,64.3,87.8,97.2,43.3,87.4,12,0,0,0,0,0,Yale University,87.4,86.5,87.8,97.2,64.3,43.3,0,Yale University
13,"University of California, Berkeley","University of California, Berkeley",United States of America,80.4,61.9,91.1,99.7,47.9,87.2,13,0,0,0,0,0,"University of California, Berkeley",87.2,80.4,91.1,99.7,61.9,47.9,0,"University of California, Berkeley"
14,University College London,University College London,United Kingdom,78.1,94.4,91,94.2,40.5,87.1,14,0,0,0,0,0,University College London,87.1,78.1,91,94.2,94.4,40.5,0,University College London
15,Columbia University,Columbia University,United States of America,85.9,73.5,82.2,98.1,46.86,86.1,15,0,0,0,0,0,Columbia University,86.1,85.9,82.2,98.1,73.5,46.86,0,Columbia University
16,"University of California, Los Angeles","University of California, Los Angeles",United States of America,80.8,56.4,88.6,98.5,47.9,85.8,16,0,0,0,0,0,"University of California, Los Angeles",85.8,80.8,88.6,98.5,56.4,47.9,0,"University of California, Los Angeles"
17,University of Pennsylvania,University of Pennsylvania,United States of America,82,49.5,86.9,98.6,47.9,85.2,17,0,0,0,0,0,University of Pennsylvania,85.2,82,86.9,98.6,49.5,47.9,0,University of Pennsylvania
18,Cornell University,Cornell University,United States of America,77.9,63.9,86.1,97.2,33.7,84,18,0,0,0,0,0,Cornell University,84,77.9,86.1,97.2,63.9,33.7,0,Cornell University
19,University of Toronto,University of Toronto,Canada,75.9,77.8,89.3,90.9,49.1,83.9,19,0,0,0,0,0,University of Toronto,83.9,75.9,89.3,90.9,77.8,49.1,0,University of Toronto
20,Duke University,Duke University,United States of America,76,56.5,78,99,100,82.7,20,0,0,0,0,0,Duke University,82.7,76,78,99,56.5,100,0,Duke University
